# dataset=strongs/glosses; lang=por; source=strongs_gloss(lexicon)+llm_strongs_glosses(llm); license=see resources/strongs/README.md; date=2026-06-20
strong	lemma	gloss	methods	sources
H2463	חֶלְבּוֹן	Helbom	lexicon	ubs-dict
H2464	חֶלְבְּנָה	gálbano	lexicon	ubs-dict
H2465	חֶלֶד	mundo	lexicon	ubs-dict
H2466	חֵלֶד	Helede	lexicon	ubs-dict
H2467	חֹלֶד	doninha	lexicon	ubs-dict
H2468	חֻלְדָּה	Hulda	lexicon	ubs-dict
H2469	חֶלְדַּי	Heldai	lexicon	ubs-dict
H2470	חָלָה	adoecer	lexicon	ubs-dict
H2471	חַלָּה	bolo	lexicon	ubs-dict
H2472	חֲלוֹם	sonhar	lexicon	ubs-dict
H2473	חֹלוֹן	Holom	lexicon	ubs-dict
H2474	חַלּוֹן	janela	lexicon	ubs-dict
H2475	חֲלוֹף	desamparados	lexicon	ubs-dict
H2476	חֲלוּשָׁה	derrota	lexicon	ubs-dict
H2477	חֲלַח	Hala	lexicon	ubs-dict
H2478	חַלְחוּל	Halul	lexicon	ubs-dict
H2479	חַלְחָלָה	tremores	lexicon	ubs-dict
H2480	חָלַט	aceitar	lexicon	ubs-dict
H2481	חֲלִי	jóia	lexicon	ubs-dict
H2483	חֳלִי	doença	lexicon	ubs-dict
H2484	חֶלְיָה	jóia	lexicon	ubs-dict
H2485	חָלִיל	flauta	lexicon	ubs-dict
H2486	חָלִילָה	Nunca! Deus não permita! Longe de mim!	lexicon	ubs-dict
H2487	חֲלִיפָה	conjunto	lexicon	ubs-dict
H2488	חֲלִיצָה	pertences	lexicon	ubs-dict
H2489	חֵלְכָא	vítima	lexicon	ubs-dict
H2490	חָלַל	profanar-se	lexicon	ubs-dict
H2491	חָלָל	mortos	lexicon	ubs-dict
H2492	חָלַם	tornar-se forte	lexicon	ubs-dict
H2494	חֵלֶם	sonhar	lexicon	ubs-dict
H2495	חַלָּמוּת	malva	lexicon	ubs-dict
H2496	חַלָּמִישׁ	pederneira	lexicon	ubs-dict
H2497	חֵלֹן	Helom	lexicon	ubs-dict
H2498	חָלַף	aparecer	lexicon	ubs-dict
H2500	חֵלֶף	como retribuição	lexicon	ubs-dict
H2502	חָלַץ	tirar	lexicon	ubs-dict
H2503	חֶלֶץ	Helez	lexicon	ubs-dict
H2504	חָלָץ	ventre	lexicon	ubs-dict
H2505	חָלַק	dividir	lexicon	ubs-dict
H2506	חֵלֶק	parte	lexicon	ubs-dict
H2509	חָלָק	liso	lexicon	ubs-dict
H2512	חַלֻּק	liso	lexicon	ubs-dict
H2513	חֶלְקָה	porção	lexicon	ubs-dict
H2515	חֲלֻקָּה	divisão	lexicon	ubs-dict
H2516	חֶלְקִי	helequita	lexicon	ubs-dict
H2517	חֶלְקַי	Helcai	lexicon	ubs-dict
H2518	חִלְקִיָּה	Hilquias	lexicon	ubs-dict
H2519	חֲלַקְלַקָּה	liso	lexicon	ubs-dict
H2520	חֶלְקַת	Helcate	lexicon	ubs-dict
H2521	חֶלְקַת הַצֻּרִים	Helcate-Azurim	lexicon	ubs-dict
H2522	חָלַשׁ	enfraquecer	lexicon	ubs-dict
H2523	חַלָּשׁ	fraco	lexicon	ubs-dict
H2524	חָם	sogro	lexicon	ubs-dict
H2527	חֹם	quente	lexicon	ubs-dict
H2529	חֶמְאָה	manteiga	lexicon	ubs-dict
H2530	חָמַד	desejar	lexicon	ubs-dict
H2531	חֶמֶד	bela, desejável, fecunda, frutífera	lexicon	ubs-dict
H2532	חֶמְדָּה	beleza	lexicon	ubs-dict
H2532	חֶמְדָּה	desejo	lexicon	ubs-dict
H2533	חֶמְדָּן	Hendã	lexicon	ubs-dict
H2534	חֵמָה	veneno	lexicon	ubs-dict
H2535	חַמָּה	calor	lexicon	ubs-dict
H2536	חַמּוּאֵל	Hamuel	lexicon	ubs-dict
H2537	חֲמוּטַל	Hamutal	lexicon	ubs-dict
H2538	חָמוּל	Hamul	lexicon	ubs-dict
H2539	חָמוּלִי	hamulita	lexicon	ubs-dict
H2540	חַמּוֹן	Hamom	lexicon	ubs-dict
H2541	חָמוֹץ	opressor	lexicon	ubs-dict
H2542	חַמּוּק	curvas	lexicon	ubs-dict
H2543	חֲמוֹר	jumento	lexicon	ubs-dict
H2545	חֲמוֹת	sogra	lexicon	ubs-dict
H2546	חֹמֶט	lagarto da areia	lexicon	ubs-dict
H2547	חֻמְטָה	Hunta	lexicon	ubs-dict
H2548	חָמִיץ	temperado (com sal)	lexicon	ubs-dict
H2549	חֲמִישִׁי	quinto	lexicon	ubs-dict
H2550	חָמַל	compaixão	lexicon	ubs-dict
H2550	חָמַל	ter consideração para com	lexicon	ubs-dict
H2551	חֶמְלָה	compaixão	lexicon	ubs-dict
H2552	חָמַם	ser quente	lexicon	ubs-dict
H2553	חַמָּן	altar de incenso	lexicon	ubs-dict
H2554	חָמַס	abusar	lexicon	ubs-dict
H2555	חָמָס	violência	lexicon	ubs-dict
H2556	חָמֵץ	fermentado	lexicon	ubs-dict
H2556	חָמֵץ	vermelho	lexicon	ubs-dict
H2557	חָמֵץ	fermentado	lexicon	ubs-dict
H2557	חָמֵץ	levedado	lexicon	ubs-dict
H2558	חֹמֶץ	vinagre	lexicon	ubs-dict
H2559	חָמַק	dar a volta	lexicon	ubs-dict
H2560	חָמַר	borbulhar	lexicon	ubs-dict
H2561	חֶמֶר	vinho (ainda em fermentação)	lexicon	ubs-dict
H2563	חֹמֶר	barro	lexicon	ubs-dict
H2564	חֵמָר	betum	lexicon	ubs-dict
H2566	חַמְרָן	Hanrão	lexicon	ubs-dict
H2567	חָמַשׁ	estar em formação de combate	lexicon	ubs-dict
H2568	חָמֵשׁ	cinco	lexicon	ubs-dict
H2569	חֹמֶשׁ	um quinto	lexicon	ubs-dict
H2573	חֵמֶת	odre	lexicon	ubs-dict
H2574	חֲמָת	Hamate	lexicon	ubs-dict
H2575	חַמַּת	Hamate	lexicon	ubs-dict
H2576	חַמֹּת דֹּאר	Hamote-Dor	lexicon	ubs-dict
H2577	חֲמָתִי	hamateu	lexicon	ubs-dict
H2580	חֵן	beleza	lexicon	ubs-dict
H2582	חֵנָדָד	Henadade	lexicon	ubs-dict
H2583	חָנָה	acampar	lexicon	ubs-dict
H2584	חַנָּה	Ana	lexicon	ubs-dict
H2585	חֲנוֹךְ	Enoque	lexicon	ubs-dict
H2586	חָנוּן	Hanum	lexicon	ubs-dict
H2587	חַנּוּן	generoso	lexicon	ubs-dict
H2588	חָנוּת	cela subterrânea	lexicon	ubs-dict
H2590	חָנַט	(processo de) embalsamagem	lexicon	ubs-dict
H2590	חָנַט	dar (frutos)	lexicon	ubs-dict
H2592	חַנִּיאֵל	Haniel	lexicon	ubs-dict
H2593	חָנִיךְ	treinado	lexicon	ubs-dict
H2594	חֲנִינָה	mostrar bondade	lexicon	ubs-dict
H2595	חֲנִית	lança	lexicon	ubs-dict
H2596	חָנַךְ	dedicar	lexicon	ubs-dict
H2598	חֲנֻכָּה	dedicação	lexicon	ubs-dict
H2599	חֲנֹכִי	enoquita	lexicon	ubs-dict
H2600	חִנָּם	sem pagamento	lexicon	ubs-dict
H2601	חֲנַמְאֵל	Hananel	lexicon	ubs-dict
H2602	חֲנָמָל	geada	lexicon	ubs-dict
H2603	חָנַן	ter boa vontade	lexicon	ubs-dict
H2605	חָנָן	Hanã	lexicon	ubs-dict
H2606	חֲנַנְאֵל	Hananel	lexicon	ubs-dict
H2607	חֲנָנִי	Hanani	lexicon	ubs-dict
H2608	חֲנַנְיָה	Hananias	lexicon	ubs-dict
H2609	חָנֵס	Hanes	lexicon	ubs-dict
H2610	חָנֵף	ser profanado	lexicon	ubs-dict
H2611	חָנֵף	impiedade	lexicon	ubs-dict
H2612	חֹנֶף	impiedade	lexicon	ubs-dict
H2613	חֲנֻפָה	impiedade	lexicon	ubs-dict
H2614	חָנַק	enforcar-se	lexicon	ubs-dict
H2615	חַנָּתֹן	Hanatom	lexicon	ubs-dict
H2616	חָסַד	mostrar-se leal	lexicon	ubs-dict
H2617	חֶסֶד	bondade	lexicon	ubs-dict
H2619	חֲסַדְיָה	Hasadias	lexicon	ubs-dict
H2620	חָסָה	refugiar-se	lexicon	ubs-dict
H2621	חֹסָה	Hosa	lexicon	ubs-dict
H2622	חָסוּת	buscar refúgio	lexicon	ubs-dict
H2623	חָסִיד	agraciado	lexicon	ubs-dict
H2624	חֲסִידָה	cegonha	lexicon	ubs-dict
H2625	חָסִיל	gafanhoto jovem	lexicon	ubs-dict
H2626	חֲסִין	poderoso	lexicon	ubs-dict
H2628	חָסַל	devorar	lexicon	ubs-dict
H2629	חָסַם	amordaçar	lexicon	ubs-dict
H2630	חָסַן	guardar	lexicon	ubs-dict
H2633	חֹסֶן	tesouro	lexicon	ubs-dict
H2634	חָסֹן	forte	lexicon	ubs-dict
H2636	חַסְפַּס	como flocos	lexicon	ubs-dict
H2637	חָסֵר	faltar	lexicon	ubs-dict
H2638	חָסֵר	falta de	lexicon	ubs-dict
H2639	חֶסֶר	escassez	lexicon	ubs-dict
H2640	חֹסֶר	falta (de)	lexicon	ubs-dict
H2641	חַסְרָה	Harás	lexicon	ubs-dict
H2642	חֶסְרוֹן	o que está faltando	lexicon	ubs-dict
H2643	חַף	puro	lexicon	ubs-dict
H2644	חָפָא	fazer coisas em segredo	lexicon	ubs-dict
H2645	חָפָה	cobrir	lexicon	ubs-dict
H2646	חֻפָּה	tenda	lexicon	ubs-dict
H2648	חָפַז	entrar em pânico	lexicon	ubs-dict
H2649	חִפָּזוֹן	pressa	lexicon	ubs-dict
H2650	חֻפִּים	Hupim	lexicon	ubs-dict
H2651	חֹפֶן	duas mãos juntas	lexicon	ubs-dict
H2652	חׇפְנִי	Hofni	lexicon	ubs-dict
H2653	חׇפַף	abrigar	lexicon	ubs-dict
H2654	חָפֵץ	gostar de	lexicon	ubs-dict
H2655	חָפֵץ	desejar	lexicon	ubs-dict
H2656	חֵפֶץ	prazer	lexicon	ubs-dict
H2657	חֶפְצִי בָּהּ	Hefzibá	lexicon	ubs-dict
H2658	חָפַר	escarvar	lexicon	ubs-dict
H2660	חֵפֶר	Héfer	lexicon	ubs-dict
H2661	חֲפֹר	ratos-toupeira	lexicon	ubs-dict
H2662	חֶפְרִי	heferita	lexicon	ubs-dict
H2663	חֲפָרַיִם	Hafaraim	lexicon	ubs-dict
H2664	חָפַשׂ	examinar	lexicon	ubs-dict
H2665	חֵפֶשׂ	plano	lexicon	ubs-dict
H2666	חָפַשׁ	libertar	lexicon	ubs-dict
H2667	חֹפֶשׁ	pano	lexicon	ubs-dict
H2668	חֻפְשָׁה	liberdade	lexicon	ubs-dict
H2669	חָפְשִׁית	separado	lexicon	ubs-dict
H2670	חׇפְשִׁי	livre	lexicon	ubs-dict
H2671	חֵץ	flecha	lexicon	ubs-dict
H2672	חָצַב	cortar	lexicon	ubs-dict
H2673	חָצָה	ser dividido	lexicon	ubs-dict
H2674	חָצוֹר	Hazor	lexicon	ubs-dict
H2675	חָצוֹר חֲדַתָּה	Hazor-Hadata	lexicon	ubs-dict
H2676	חָצוֹת	meio (de um tempo)	lexicon	ubs-dict
H2677	חֵצִי	metade (de um objeto ou substância)	lexicon	ubs-dict
H2678	חִצִּי	flecha	lexicon	ubs-dict
H2679	חֲצִי הַמְּנֻחוֹת	maanatita	lexicon	ubs-dict
H2681	חָצִיר	alho poró	lexicon	ubs-dict
H2683	חֵצֶן	regaço	lexicon	ubs-dict
H2686	חָצַץ	mover-se em fileiras	lexicon	ubs-dict
H2687	חָצָץ	areia	lexicon	ubs-dict
H2688	חַצְצוֹן תָּמָר	Hazazom-Tamar	lexicon	ubs-dict
H2689	חֲצֹצְרָה	trombeta	lexicon	ubs-dict
H2690	חָצַר	tocar a trombeta	lexicon	ubs-dict
H2691	חָצֵר	povoado	lexicon	ubs-dict
H2692	חֲצַר אַדָּר	Hazar-Adar	lexicon	ubs-dict
H2693	חֲצַר גַּדָּה	Hazar-Gada	lexicon	ubs-dict
H2694	חֲצַר הַתִּיכוֹן	Hazer-Haticom	lexicon	ubs-dict
H2695	חֶצְרוֹ	Hezrai	lexicon	ubs-dict
H2695	חֶצְרוֹ	Hezro	lexicon	ubs-dict
H2696	חֶצְרוֹן	Hezrom	lexicon	ubs-dict
H2697	חֶצְרוֹנִי	hezronita	lexicon	ubs-dict
H2698	חֲצֵרוֹת	Hazerote	lexicon	ubs-dict
H2700	חֲצַרְמָוֶת	Hazar-Mavé	lexicon	ubs-dict
H2701	חֲצַר סוּסָה	Hazar-Susa	lexicon	ubs-dict
H2702	חֲצַר סוּסִים	Hazar-Sussim	lexicon	ubs-dict
H2703	חֲצַר עֵינוֹן	Hazar-Enom	lexicon	ubs-dict
H2704	חֲצַר עֵינָן	Hazar-Enã	lexicon	ubs-dict
H2705	חֲצַר שׁוּעָל	Hazar-Sual	lexicon	ubs-dict
H2706	חֹק	tarefa	lexicon	ubs-dict
H2707	חָקָה	pintar	lexicon	ubs-dict
H2708	חֻקָּה	costumes	lexicon	ubs-dict
H2709	חֲקוּפָא	Hacufa	lexicon	ubs-dict
H2710	חָקַק	esculpir	lexicon	ubs-dict
H2712	חֻקֹּק	Hucoque	lexicon	ubs-dict
H2713	חָקַר	procurar	lexicon	ubs-dict
H2714	חֵקֶר	exame	lexicon	ubs-dict
H2716	חֶרֶא	esterco	lexicon	ubs-dict
H2717	חָרַב	secar	lexicon	ubs-dict
H2719	חֶרֶב	faca	lexicon	ubs-dict
H2720	חָרֵב	seco	lexicon	ubs-dict
H2721	חֹרֶב	secura	lexicon	ubs-dict
H2722	חֹרֵב	Horebe	lexicon	ubs-dict
H2723	חׇרְבָּה	desolação	lexicon	ubs-dict
H2724	חָרָבָה	terra seca	lexicon	ubs-dict
H2725	חֲרָבוֹן	seca	lexicon	ubs-dict
H2726	חַרְבוֹנָא	Harbona	lexicon	ubs-dict
H2727	חָרַג	tremer	lexicon	ubs-dict
H2728	חָרְגֹּל	gafanhoto	lexicon	ubs-dict
H2729	חָרַד	tremer	lexicon	ubs-dict
H2730	חָרֵד	tremendo	lexicon	ubs-dict
H2731	חֲרָדָה	tremor > choque	lexicon	ubs-dict
H2733	חֲרֹדִי	harodita	lexicon	ubs-dict
H2734	חָרָה	ser consumido	lexicon	ubs-dict
H2735	חֹר הַגִּדְגָּד	Hor-Hagidgade	lexicon	ubs-dict
H2736	חַרְהֲיָה	Haraías	lexicon	ubs-dict
H2737	חָרוּז	colar	lexicon	ubs-dict
H2738	חָרוּל	urtigas	lexicon	ubs-dict
H2739	חֲרוּמַף	Harumafe	lexicon	ubs-dict
H2740	חָרוֹן	seco	lexicon	ubs-dict
H2741	חֲרוּפִי	harufita	lexicon	ubs-dict
H2742	חֲרוּץ	ouro	lexicon	ubs-dict
H2744	חַרְחוּר	Harur	lexicon	ubs-dict
H2745	חַרְחַס	Harás	lexicon	ubs-dict
H2746	חַרְחֻר	queimaduras	lexicon	ubs-dict
H2747	חֶרֶט	estilete, buril (?)	lexicon	ubs-dict
H2748	חַרְטֹם	mago	lexicon	ubs-dict
H2750	חֳרִי	ficar com raiva	lexicon	ubs-dict
H2751	חֹרִי	pão branco	lexicon	ubs-dict
H2754	חָרִיט	saco	lexicon	ubs-dict
H2756	חָרִיף	Harife	lexicon	ubs-dict
H2757	חָרִיץ	queijo	lexicon	ubs-dict
H2758	חָרִישׁ	lavra	lexicon	ubs-dict
H2759	חֲרִישִׁי	quente, abrasador	lexicon	ubs-dict
H2760	חָרַךְ	ser chamuscado	lexicon	ubs-dict
H2762	חֶרֶךְ	grades	lexicon	ubs-dict
H2763	חָרַם	com (rosto ou parte do rosto) desfigurado (cindido)	lexicon	ubs-dict
H2764	חֵרֶם	rede de pesca	lexicon	ubs-dict
H2765	חֳרֵם	Horém	lexicon	ubs-dict
H2766	חָרִם	Harim	lexicon	ubs-dict
H2767	חׇרְמָה	Hormá	lexicon	ubs-dict
H2768	חֶרְמוֹן	Hermom	lexicon	ubs-dict
H2770	חֶרְמֵשׁ	foice	lexicon	ubs-dict
H2771	חָרָן	Harã	lexicon	ubs-dict
H2772	חֹרֹנִי	horonita	lexicon	ubs-dict
H2773	חֹרֹנַיִם	Horonaim	lexicon	ubs-dict
H2774	חַרְנֶפֶר	Harnefer	lexicon	ubs-dict
H2775	חֶרֶס	sarna	lexicon	ubs-dict
H2777	חַרְסוּת	Portão dos Cacos	lexicon	ubs-dict
H2778	חָרַף	menosprezar	lexicon	ubs-dict
H2779	חֹרֶף	inverno	lexicon	ubs-dict
H2780	חָרֵף	Harefe	lexicon	ubs-dict
H2781	חֶרְפָּה	vergonha	lexicon	ubs-dict
H2782	חָרַץ	falar (contra)	lexicon	ubs-dict
H2784	חַרְצֻבָּה	cordas	lexicon	ubs-dict
H2785	חַרְצַן	semente (da uva)	lexicon	ubs-dict
H2786	חָרַק	ranger (os dentes)	lexicon	ubs-dict
H2787	חָרַר	queimado	lexicon	ubs-dict
H2787	חָרַר	soprar	lexicon	ubs-dict
H2788	חָרֵר	lugares mais secos e áridos	lexicon	ubs-dict
H2789	חֶרֶשׂ	(vaso de) barro, cerâmica	lexicon	ubs-dict
H2790	חָרַשׁ	gravar (em pedra)	lexicon	ubs-dict
H2791	חֶרֶשׁ	artesão	lexicon	ubs-dict
H2793	חֹרֶשׁ	Horesa	lexicon	ubs-dict
H2793	חֹרֶשׁ	mata	lexicon	ubs-dict
H2795	חֵרֵשׁ	surdo	lexicon	ubs-dict
H2796	חָרָשׁ	artesão	lexicon	ubs-dict
H2797	חַרְשָׁא	Harsa	lexicon	ubs-dict
H2799	חֲרֹשֶׁת	lapidação (em pedra)	lexicon	ubs-dict
H2800	חֲרֹשֶׁת	Harosete-Hagoim	lexicon	ubs-dict
H2801	חָרַת	gravar	lexicon	ubs-dict
H2802	חֶרֶת	Herete	lexicon	ubs-dict
H2803	חָשַׁב	pensar a respeito de	lexicon	ubs-dict
H2805	חֵשֶׁב	cinto	lexicon	ubs-dict
H2806	חַשְׁבַּדָּנָה	Hasbadana	lexicon	ubs-dict
H2807	חֲשֻׁבָה	Hasubá	lexicon	ubs-dict
H2808	חֶשְׁבּוֹן	pensamento	lexicon	ubs-dict
H2810	חִשָּׁבוֹן	plano	lexicon	ubs-dict
H2811	חֲשַׁבְיָה	Hasabias	lexicon	ubs-dict
H2812	חֲשַׁבְנָה	Hasabna	lexicon	ubs-dict
H2813	חֲשַׁבְנְיָה	Hasabnéias	lexicon	ubs-dict
H2814	חָשָׁה	ficar em silêncio	lexicon	ubs-dict
H2815	חַשּׁוּב	Hassube	lexicon	ubs-dict
H2817	חֲשׂוּפָא	Hasufa	lexicon	ubs-dict
H2820	חָשַׂךְ	negar	lexicon	ubs-dict
H2821	חָשַׁךְ	escurecer	lexicon	ubs-dict
H2822	חֹשֶׁךְ	trevas	lexicon	ubs-dict
H2823	חָשֹׁךְ	obscuro	lexicon	ubs-dict
H2825	חֲשֵׁכָה	trevas	lexicon	ubs-dict
H2826	חָשַׁל	estar exausto	lexicon	ubs-dict
H2828	חָשֻׁם	Hasum	lexicon	ubs-dict
H2829	חֶשְׁמוֹן	Hesmom	lexicon	ubs-dict
H2830	חַשְׁמַל	bronze brilhante	lexicon	ubs-dict
H2831	חַשְׁמַן	bronze	lexicon	ubs-dict
H2832	חַשְׁמֹנָה	Hasmona	lexicon	ubs-dict
H2833	חֹשֶׁן	peitoral	lexicon	ubs-dict
H2834	חָשַׂף	destapar	lexicon	ubs-dict
H2835	חָשִׂף	pequeno rebanho	lexicon	ubs-dict
H2836	חָשַׁק	ligar com um varão	lexicon	ubs-dict
H2837	חֵשֶׁק	desejo	lexicon	ubs-dict
H2838	חָשֻׁק	ligar com um varão	lexicon	ubs-dict
H2839	חִשֻּׁק	raio (de roda)	lexicon	ubs-dict
H2840	חִשֻּׁר	cubos (de roda)	lexicon	ubs-dict
H2841	חַשְׁרָה	(nuvens) carregadas de água	lexicon	ubs-dict
H2842	חָשַׁשׁ	grama seca	lexicon	ubs-dict
H2843	חֻשָׁתִי	husatita	lexicon	ubs-dict
H2844	חַת	quebrado	lexicon	ubs-dict
H2845	חֵת	Hete	lexicon	ubs-dict
H2846	חָתָה	carregar	lexicon	ubs-dict
H2847	חִתָּה	terror	lexicon	ubs-dict
H2848	חִתּוּל	bandagem	lexicon	ubs-dict
H2849	חַתְחַת	perigos	lexicon	ubs-dict
H2850	חִתִּי	hitita	lexicon	ubs-dict
H2851	חִתִּית	medo	lexicon	ubs-dict
H2852	חָתַךְ	determinar	lexicon	ubs-dict
H2853	חָתַל	enrolar em panos	lexicon	ubs-dict
H2854	חֲתֻלָּה	pano de envolver	lexicon	ubs-dict
H2855	חֶתְלֹן	Hetlom	lexicon	ubs-dict
H2856	חָתַם	selar	lexicon	ubs-dict
H2858	חֹתֶמֶת	selo	lexicon	ubs-dict
H2859	חָתַן	casar-se com	lexicon	ubs-dict
H2860	חָתָן	noivo	lexicon	ubs-dict
H2861	חֲתֻנָּה	casamento	lexicon	ubs-dict
H2862	חָתַף	tirar	lexicon	ubs-dict
H2863	חֶתֶף	ladrão	lexicon	ubs-dict
H2864	חָתַר	cavar	lexicon	ubs-dict
H2865	חָתַת	rachar	lexicon	ubs-dict
H2866	חֲתַת	calamidade	lexicon	ubs-dict
H2870	טָבְאֵל	Tabeal	lexicon	ubs-dict
H2870	טָבְאֵל	Tabeel	lexicon	ubs-dict
H2871	טָבוּל	turbantes esvoaçantes	lexicon	ubs-dict
H2872	טַבּוּר	umbigo	lexicon	ubs-dict
H2873	טָבַח	matar	lexicon	ubs-dict
H2874	טֶבַח	abate	lexicon	ubs-dict
H2876	טַבָּח	cozinheiro	lexicon	ubs-dict
H2878	טִבְחָה	abate	lexicon	ubs-dict
H2879	טַבָּחָה	cozinheira	lexicon	ubs-dict
H2880	טִבְחַת	Tibate	lexicon	ubs-dict
H2881	טָבַל	mergulhar	lexicon	ubs-dict
H2882	טְבַלְיָהוּ	Tebalias	lexicon	ubs-dict
H2883	טָבַע	cair em	lexicon	ubs-dict
H2884	טַבָּעוֹת	Tabaote	lexicon	ubs-dict
H2885	טַבַּעַת	anel-sinete	lexicon	ubs-dict
H2886	טַבְרִמּוֹן	Tabrimom	lexicon	ubs-dict
H2887	טֵבֶת	tebete	lexicon	ubs-dict
H2888	טַבַּת	Tabate	lexicon	ubs-dict
H2889	טָהוֹר	limpo	lexicon	ubs-dict
H2891	טָהֵר	purificar-se	lexicon	ubs-dict
H2892	טֹהַר	claridade	lexicon	ubs-dict
H2893	טׇהֳרָה	purificação	lexicon	ubs-dict
H2894	טוּא	varrer	lexicon	ubs-dict
H2895	טוֹב	ser bom	lexicon	ubs-dict
H2896	טוֹב	bom	lexicon	ubs-dict
H2896	טוֹב	bondade	lexicon	ubs-dict
H2898	טוּב	beleza	lexicon	ubs-dict
H2899	טוֹב אֲדֹנִיָּהוּ	Tobe-Adonias	lexicon	ubs-dict
H2900	טוֹבִיָּה	Tobias	lexicon	ubs-dict
H2901	טָוָה	fiar	lexicon	ubs-dict
H2902	טוּחַ	cobrir	lexicon	ubs-dict
H2902	טוּחַ	ser tapado	lexicon	ubs-dict
H2903	טוֹפָפָה	filactério	lexicon	ubs-dict
H2904	טוּל	lançar	lexicon	ubs-dict
H2905	טוּר	fileira	lexicon	ubs-dict
H2907	טוּשׂ	mergulhar	lexicon	ubs-dict
H2909	טָחָה	distância de um tiro de arco	lexicon	ubs-dict
H2910	טֻחָה	íbis	lexicon	ubs-dict
H2911	טְחוֹן	moinho	lexicon	ubs-dict
H2912	טָחַן	moer	lexicon	ubs-dict
H2913	טַחֲנָה	moagem	lexicon	ubs-dict
H2914	טְחֹר	tumor	lexicon	ubs-dict
H2915	טִיחַ	caiação	lexicon	ubs-dict
H2916	טִיט	lama	lexicon	ubs-dict
H2918	טִירָה	assentamento	lexicon	ubs-dict
H2919	טַל	orvalho	lexicon	ubs-dict
H2921	טָלָא	remendar	lexicon	ubs-dict
H2922	טְלָא	cordeirinho	lexicon	ubs-dict
H2923	טְלָאִים	Telaim	lexicon	ubs-dict
H2925	טַלְטֵלָה	arremessar	lexicon	ubs-dict
H2926	טָלַל	achar abrigo	lexicon	ubs-dict
H2928	טֶלֶם	Telém	lexicon	ubs-dict
H2929	טַלְמוֹן	Talmom	lexicon	ubs-dict
H2930	טָמֵא	ficar impuro	lexicon	ubs-dict
H2931	טָמֵא	impuro	lexicon	ubs-dict
H2932	טֻמְאָה	impureza	lexicon	ubs-dict
H2933	טָמָה	ser ignorante	lexicon	ubs-dict
H2934	טָמַן	esconder-se	lexicon	ubs-dict
H2935	טֶנֶא	cesto	lexicon	ubs-dict
H2936	טָנַף	sujar	lexicon	ubs-dict
H2937	טָעָה	enganar	lexicon	ubs-dict
H2938	טָעַם	saborear	lexicon	ubs-dict
H2940	טַעַם	gosto	lexicon	ubs-dict
H2943	טָעַן	carregar	lexicon	ubs-dict
H2945	טַף	criança(s)	lexicon	ubs-dict
H2946	טָפַח	estender	lexicon	ubs-dict
H2947	טֵפַח	quatro dedos	lexicon	ubs-dict
H2948	טֹפַח	quatro dedos	lexicon	ubs-dict
H2949	טִפֻּח	nascimento	lexicon	ubs-dict
H2950	טָפַל	passar cal	lexicon	ubs-dict
H2951	טִפְסַר	comandante	lexicon	ubs-dict
H2952	טָפַף	rebolar	lexicon	ubs-dict
H2954	טָפַשׁ	estar gordo	lexicon	ubs-dict
H2955	טָפַת	Tafate	lexicon	ubs-dict
H2956	טָרַד	ser contínuo	lexicon	ubs-dict
H2959	טָרַח	carregar	lexicon	ubs-dict
H2960	טֹרַח	carga	lexicon	ubs-dict
H2961	טָרִי	recente	lexicon	ubs-dict
H2962	טֶרֶם	antes que	lexicon	ubs-dict
H2963	טָרַף	despedaçar	lexicon	ubs-dict
H2964	טֶרֶף	presa	lexicon	ubs-dict
H2965	טָרָף	folha nova	lexicon	ubs-dict
H2966	טְרֵפָה	presa	lexicon	ubs-dict
H2968	יָאַב	desejar	lexicon	ubs-dict
H2969	יָאָה	ser apropriado	lexicon	ubs-dict
H2970	יַאֲזַנְיָה	Jazanias	lexicon	ubs-dict
H2971	יָאִיר	Jair	lexicon	ubs-dict
H2972	יָאִרִי	jairita	lexicon	ubs-dict
H2973	יָאַל	ser insensato	lexicon	ubs-dict
H2975	יְאֹר	rio Nilo	lexicon	ubs-dict
H2976	יָאַשׁ	desistir	lexicon	ubs-dict
H2977	יֹאשִׁיָּה	Josias	lexicon	ubs-dict
H2978	יְאִתוֹן	de fora	lexicon	ubs-dict
H2979	יְאָתְרַי	Jeaterai	lexicon	ubs-dict
H2980	יָבַב	olhar com apreensão	lexicon	ubs-dict
H2981	יְבוּל	colheita	lexicon	ubs-dict
H2982	יְבוּס	Jebus	lexicon	ubs-dict
H2983	יְבוּסִי	jebuseus	lexicon	ubs-dict
H2984	יִבְחַר	Ibar	lexicon	ubs-dict
H2985	יָבִין	Jabim	lexicon	ubs-dict
H2986	יָבַל	conduzir	lexicon	ubs-dict
H2988	יָבָל	riachos	lexicon	ubs-dict
H2990	יַבֵּל	úlcera	lexicon	ubs-dict
H2991	יִבְלְעָם	Ibleão	lexicon	ubs-dict
H2992	יָבַם	cumprir o levirato	lexicon	ubs-dict
H2993	יָבָם	cunhado	lexicon	ubs-dict
H2994	יְבֵמֶת	cunhada	lexicon	ubs-dict
H2995	יַבְנְאֵל	Jabneel	lexicon	ubs-dict
H2996	יַבְנֶה	Jabne	lexicon	ubs-dict
H2997	יִבְנְיָה	Ibnéias	lexicon	ubs-dict
H2998	יִבְנִיָּה	Ibnijas	lexicon	ubs-dict
H2999	יַבֹּק	Jaboque	lexicon	ubs-dict
H3000	יְבֶרֶכְיָהוּ	Jeberequias	lexicon	ubs-dict
